sample_id,prefix_len,fp32_top1_logit,fp32_margin,int8_top1_logit,int8_margin,fp32_argmax_id,int8_argmax_id,margin_diff_abs
common_voice_de_17302468,1,9.439355850219727,0.019893646240234375,9.340526580810547,0.24286556243896484,19,19,0.22297191619873047
common_voice_de_17305962,13,13.969335556030273,0.16871261596679688,14.014320373535156,0.35968589782714844,24779,24779,0.19097328186035156
common_voice_de_17327161,0,13.400157928466797,0.8784856796264648,13.460121154785156,0.8853292465209961,9345,9345,0.00684356689453125
common_voice_de_17328005,8,7.64112663269043,0.04340362548828125,7.170869827270508,0.09857749938964844,135,2029,0.05517387390136719
common_voice_de_17328129,6,9.721585273742676,1.8546228408813477,9.14216136932373,1.7960586547851562,1295,1295,0.058564186096191406
common_voice_de_17328673,0,12.908526420593262,0.019184112548828125,13.327160835266113,0.5195550918579102,38,958,0.500370979309082
common_voice_de_17333207,0,14.288846969604492,0.3964977264404297,14.12148666381836,0.2960681915283203,31788,31788,0.10042953491210938
common_voice_de_17334974,15,13.03624439239502,0.38097572326660156,12.834345817565918,0.2626352310180664,412,412,0.11834049224853516
common_voice_de_17342157,4,10.72168254852295,0.6179733276367188,10.69834041595459,0.820587158203125,21482,21482,0.20261383056640625
common_voice_de_17342158,12,12.879030227661133,0.5804910659790039,12.979519844055176,0.6307945251464844,1731,1731,0.05030345916748047
common_voice_de_17359748,6,11.737069129943848,0.22780990600585938,11.577144622802734,0.4480018615722656,433,433,0.22019195556640625
common_voice_de_17384372,2,13.963594436645508,1.4690256118774414,14.060236930847168,1.3736162185668945,433,433,0.09540939331054688
common_voice_de_17402858,1,10.90562629699707,0.5329189300537109,11.064196586608887,0.7322702407836914,48,48,0.19935131072998047
common_voice_de_17417202,1,12.033756256103516,0.3639183044433594,11.550374031066895,0.06290817260742188,14144,14144,0.3010101318359375
common_voice_de_17488270,0,12.213263511657715,0.2585639953613281,12.303547859191895,0.30524539947509766,36,36,0.04668140411376953
common_voice_de_17509209,6,15.257410049438477,3.3170995712280273,15.258275985717773,3.585481643676758,22,22,0.26838207244873047
common_voice_de_17570271,13,8.825916290283203,0.32576751708984375,8.887124061584473,0.2814302444458008,6102,6102,0.04433727264404297
common_voice_de_17572474,6,8.957287788391113,1.5105938911437988,9.224163055419922,1.3434176445007324,2731,2731,0.1671762466430664
common_voice_de_17625625,2,11.005488395690918,0.3944854736328125,11.032906532287598,0.46378517150878906,2639,2639,0.06929969787597656
common_voice_de_17630009,12,11.397065162658691,1.6016054153442383,11.431652069091797,1.5224428176879883,4,4,0.07916259765625
common_voice_de_17636555,15,7.840226173400879,1.2699403762817383,7.051675796508789,0.6233272552490234,10974,10974,0.6466131210327148
common_voice_de_17667314,0,15.263592720031738,0.6672515869140625,15.09096908569336,0.9119024276733398,131,131,0.24465084075927734
common_voice_de_17780652,0,13.116593360900879,0.8589382171630859,12.47314167022705,0.029109954833984375,5069,5069,0.8298282623291016
common_voice_de_17807333,6,10.458483695983887,3.097649574279785,10.58576488494873,3.3945183753967285,10221,10221,0.29686880111694336
common_voice_de_17851209,5,15.236183166503906,5.088056564331055,15.02160930633545,5.289973258972168,41,41,0.20191669464111328
common_voice_de_17881390,1,13.118202209472656,0.12514114379882812,12.82234001159668,0.2340097427368164,22,22,0.10886859893798828
common_voice_de_17997606,3,11.670225143432617,0.3699979782104492,12.35209846496582,0.920557975769043,137,137,0.5505599975585938
common_voice_de_18063508,11,11.967206954956055,4.406741142272949,12.048160552978516,4.270664215087891,2780,2780,0.1360769271850586
common_voice_de_18184857,2,14.731843948364258,0.19302749633789062,14.961310386657715,0.2721223831176758,90,90,0.07909488677978516
common_voice_de_18194862,3,11.121016502380371,0.1412029266357422,11.171158790588379,0.05599498748779297,43,156,0.08520793914794922
common_voice_de_18196057,10,12.499470710754395,0.5850334167480469,12.163433074951172,0.6136751174926758,35,35,0.028641700744628906
common_voice_de_18198210,9,11.116133689880371,0.21333026885986328,11.033382415771484,0.06977558135986328,1350,1350,0.1435546875
common_voice_de_18199983,21,12.094452857971191,0.5985260009765625,12.022299766540527,0.7479705810546875,4639,4639,0.149444580078125
common_voice_de_18200502,0,13.897041320800781,0.8915433883666992,13.112870216369629,0.09813117980957031,6279,6279,0.7934122085571289
common_voice_de_18201681,17,10.574525833129883,2.228787422180176,10.307204246520996,2.3187570571899414,3,3,0.08996963500976562
common_voice_de_18203356,3,13.566559791564941,1.8101263046264648,13.404350280761719,1.9692630767822266,121,121,0.15913677215576172
common_voice_de_18204487,0,14.072242736816406,0.8414220809936523,14.083559036254883,0.413909912109375,1098,1098,0.42751216888427734
common_voice_de_18206342,1,11.703471183776855,0.6164388656616211,11.785877227783203,0.8690280914306641,22,22,0.25258922576904297
common_voice_de_18206560,12,9.838650703430176,0.04855060577392578,10.520094871520996,0.17127323150634766,73,73,0.12272262573242188
common_voice_de_18211046,1,15.874371528625488,0.5906352996826172,15.606968879699707,0.13100624084472656,393,7643,0.4596290588378906
common_voice_de_18212683,7,11.550127029418945,0.5698394775390625,11.465851783752441,0.6011867523193359,2743,2743,0.03134727478027344
