sample_id,source_char_len,source_word_count,fp32_chrf,int8_chrf,delta_chrf,fp32_latency_ms,int8_latency_ms,delta_latency_ms
common_voice_de_18750207,44,8,15.372369312161037,15.372369312161037,0.0,1149.8944000004485,816.5013999996518,333.39300000079675
common_voice_de_19613384,67,8,83.06457827472387,83.06457827472387,0.0,1126.1871999995492,1207.9154000002745,-81.72820000072534
common_voice_de_18637022,31,7,19.04288882275202,15.099693044752504,3.943195777999515,767.6147000001947,614.3572999999378,153.2574000002569
common_voice_de_18979935,56,6,82.68274273752505,82.68274273752505,0.0,931.1901999999463,826.7681000006633,104.42209999928309
common_voice_de_17329468,24,6,62.374420637124295,78.54953885365197,-16.17511821652767,1049.4734000000108,1276.843000000099,-227.3696000000882
common_voice_de_19890611,62,9,61.141452707761815,63.64312651409699,-2.5016738063351767,1537.9735999995319,1099.8709000000417,438.10269999949014
common_voice_de_17925946,53,7,31.45359813895512,31.45359813895512,0.0,1274.737499999901,1674.0213000002768,-399.2838000003758
common_voice_de_19772659,63,9,70.91949509788198,70.91949509788198,0.0,1180.532000000312,1945.2542000000221,-764.72219999971
common_voice_de_18789263,42,7,50.76028107513512,50.76028107513512,0.0,1114.0729999997347,1057.1139999992738,56.95900000046095
common_voice_de_19169779,57,9,100.0,100.0,0.0,1008.8486000004195,1810.1334999992105,-801.2848999987909
common_voice_de_19295872,88,10,41.89296352325184,41.89296352325184,0.0,1004.2303999998694,1142.3252999993565,-138.0948999994871
common_voice_de_18018586,69,13,29.253468075444538,42.81544421422526,-13.561976138780722,1326.460699999643,1515.6879000001027,-189.22720000045956
common_voice_de_18215761,28,5,22.811471593927756,22.811471593927756,0.0,711.5243999996892,1091.687600000114,-380.1632000004247
common_voice_de_18584570,40,5,36.45084293392161,36.45084293392161,0.0,988.6827999998786,705.041700000038,283.64109999984066
common_voice_de_19952852,91,14,88.1674703538917,88.1674703538917,0.0,1448.3349999991333,1522.5416999999197,-74.20670000078644
common_voice_de_17323473,20,4,100.0,100.0,0.0,578.4257000000252,1006.9684000000052,-428.54269999997996
common_voice_de_17797518,41,6,100.0,100.0,0.0,580.7101999998849,676.1819999996987,-95.47179999981381
common_voice_de_19700284,51,7,64.5397769715247,64.5397769715247,0.0,812.7005999995163,1046.2123999986943,-233.51179999917804
common_voice_de_19978376,68,9,29.628377952303897,29.628377952303897,0.0,1102.4453999998514,1252.7251999999862,-150.27980000013486
common_voice_de_17661289,18,3,100.0,100.0,0.0,382.02110000020184,353.08949999989636,28.93160000030548
common_voice_de_18419362,20,3,68.5134576523378,68.5134576523378,0.0,451.23340000009193,603.7950999998429,-152.561699999751
common_voice_de_17315745,57,8,69.23697535723714,67.898195681696,1.3387796755411472,980.4225000000315,1867.4831999999242,-887.0606999998927
common_voice_de_18216831,49,8,20.126864789244884,20.14347916548063,-0.01661437623574713,906.951900000422,1673.868300000322,-766.9163999999
common_voice_de_19122322,86,10,69.75152427953418,69.75152427953418,0.0,871.7801999991934,919.1430000000764,-47.362800000883
common_voice_de_19140972,76,12,77.3257771369162,77.3257771369162,0.0,1073.6963999997897,1094.0544000004593,-20.358000000669563
common_voice_de_19964602,57,6,76.20602497545136,76.20602497545136,0.0,963.2822000003216,1083.2712000001266,-119.98899999980495
common_voice_de_18487185,64,10,32.86903068454349,42.826131704622334,-9.957101020078845,831.9642000005842,792.3047000003862,39.65950000019802
common_voice_de_18201072,55,11,65.7310730226536,65.7310730226536,0.0,1172.2933000000921,1423.07559999972,-250.78229999962787
common_voice_de_19270588,61,8,92.20589105425509,92.20589105425509,0.0,922.6913000002241,1427.9641000011907,-505.2728000009665
common_voice_de_19162053,77,11,78.73277684041265,78.73277684041265,0.0,952.2691000001942,1050.8470000004309,-98.5779000002367
common_voice_de_18192755,35,6,88.5628684630398,88.5628684630398,0.0,923.0391999999483,1461.9643000000906,-538.9251000001423
common_voice_de_19870852,67,10,66.54581595588883,81.71200223673084,-15.166186280842012,1461.3652000007278,956.3072999999349,505.05790000079287
