Graph,Status,Shape_Inference,Quantized_Model,Original_SHA256,INT8_SHA256,Original_MB,INT8_MB,Reduction_Percent,Quantization_Time_s,Error
encoder_model.onnx,Success,Disabled,Original,6fc4590625f50e686e7c6056dfce8785551e193013cc374ff1696666d7f41b14,1143c913fa822115fac6c9a20318a2e73470abc997becdaedd8c2d3768202de5,186.68,47.62,74.49,7.89,
decoder_model.onnx,Success,Disabled,Original,7db7d633432627e37958ccebbb98c58dc8d9f533889b48fabed21494e0af1175,f37f311fe4834fd6513077e1f8edc4216b403c4fe0357f2e14d18f2519f47a0c,324.52,81.66,74.84,18.83,
decoder_with_past_model.onnx,Success,Disabled,Original,f084871837fb58fdd360083eefbc105ee760021b5d10e01a0641b02b1f4f01b9,7a570815b50c04ea6f72a63852f6f80b729a471cd443c0b1436105bb682320bd,312.49,78.61,74.84,17.01,
